icd9_code,icd10_code,rank,reason
0527,B010,2,"This code represents a specific complication (meningitis) of varicella (chickenpox). While it is a possible complication, the ICD-9 code specifies 'other specified complications', making B010 less general than B0189. It is a potential match if the 'other specified' complication was meningitis, but based solely on the text, it's less direct."
0527,B0181,3,"Similar to B010, this code represents a specific complication (keratitis) of varicella. It is less general than B0189 and only matches the ICD-9 code if the specific complication was keratitis, which is not stated."
0578,B09,1,"This code represents unspecified viral infections manifesting with skin lesions, which aligns closely with the general description of 'viral exanthemata' (a rash caused by a virus) in the ICD-9 code, even though it lacks specificity regarding the type of virus or specific rash pattern."
0578,L444,2,"This code represents a specific type of viral exanthemata (infantile papular acrodermatitis). While it is a viral exanthem, it is highly specific and does not encompass the 'other specified' nature of the ICD-9 code, making it less suitable than the more general B09."
0654,A91,1,Dengue hemorrhagic fever is a specific type of mosquito-borne hemorrhagic fever. This is the closest semantic match.
0654,A920,2,"Chikungunya virus disease is also mosquito-borne, but it is not typically characterized as a hemorrhagic fever. Less specific match than A91."
0663,A928,1,"This code represents 'Other specified mosquito-borne viral fevers', which is the most direct and semantically equivalent translation of 'Other mosquito-borne fever' from ICD-9. It captures the 'other' and 'mosquito-borne fever' aspects."
0663,A920,2,"Chikungunya virus disease is a specific type of mosquito-borne fever. While not 'other', it fits the category."
0663,A921,3,"O'nyong-nyong fever is a specific type of mosquito-borne fever. While not 'other', it fits the category."
0663,A924,4,"Rift Valley fever is a specific type of mosquito-borne fever. While not 'other', it fits the category."
0663,A925,5,"Zika virus disease is a specific type of mosquito-borne fever. While not 'other', it fits the category."
0663,A930,6,"Oropouche virus disease is a specific type of mosquito-borne fever. While not 'other', it fits the category."
0663,B331,7,"Ross River disease is a mosquito-borne viral illness, but it is classified under 'Other viral diseases' (B33.1) rather than the specific 'Mosquito-borne viral fevers' category (A92). It's less semantically aligned than the A92 codes."
07020,B162,1,"This code specifies 'Acute hepatitis B' which aligns with the 'acute or unspecified' nature of the ICD-9 code, and includes 'with hepatic coma', matching the ICD-9 description exactly. It also correctly excludes 'hepatitis delta'."
07020,B1911,2,"This code captures 'Unspecified viral hepatitis B' and 'with hepatic coma', aligning with the 'unspecified' part of the ICD-9 code. However, it is less specific than B162 regarding the acute nature, even though the ICD-9 code allows for 'acute or unspecified'."
07030,B169,1,"Matches 'acute' and 'without hepatic coma' from the ICD-9 description. Also explicitly excludes delta-agent, matching the ICD-9 description."
07030,B1910,2,"Matches 'viral hepatitis B' and 'without hepatic coma'. However, it does not specify 'acute' or 'unspecified', making it less specific than B169 which captures the 'acute' aspect mentioned in ICD-9."
07059,B178,1,"This code represents 'Other specified acute viral hepatitis'. The ICD-9 code '07059' specifies 'viral hepatitis without mention of hepatic coma'. The ICD-9 code does not specify acute or chronic, but 'B178' captures the 'specified' aspect of the ICD-9 code, implying a specific type of viral hepatitis other than A, B, C, D, or E. The ICD-9 code's lack of mention of hepatic coma aligns with the absence of severity specifiers in 'B178'."
07059,B188,2,"This code represents 'Other chronic viral hepatitis'. While the ICD-9 code does not specify acute or chronic, 'chronic' is a plausible temporal detail for 'viral hepatitis'. 'B188' captures the 'specified' aspect, similar to 'B178', but the 'chronic' specifier is an assumption not directly supported by the ICD-9 code."
07059,B189,3,"This code represents 'Chronic viral hepatitis, unspecified'. This code is less specific than 'B188' and 'B178'. The ICD-9 code '07059' is 'Other specified viral hepatitis', implying a specific type was intended, making 'unspecified' less likely to be the best match."
07798,A740,1,"This code directly represents 'Chlamydial conjunctivitis', which is the most specific and semantically equivalent match to the ICD-9 description 'Unspecified diseases of conjunctiva due to chlamydiae'."
07798,A7489,2,"This code represents 'Other chlamydial diseases', which is less specific than A740. While it includes chlamydial infections, it doesn't specify the conjunctiva, making it a less direct match to the ICD-9 description."
07889,B338,1,"This code represents 'Other specified viral diseases,' which is a direct semantic equivalent to the ICD-9 code 'Other specified diseases due to viruses.' It captures the general category and the 'specified' nature without naming a specific virus."
07889,A983,2,"This code specifies 'Marburg virus disease,' which is a type of viral disease. While the ICD-9 code is general ('Other specified'), A983 represents a specific viral disease, making it less general but still semantically related."
07889,A984,3,"This code specifies 'Ebola virus disease,' similar to A983, it represents a specific viral disease. It is semantically related but less general than the ICD-9 code and B338."
07989,B338,1,Direct semantic equivalent. 'Other specified viral infection' (ICD-9) maps closely to 'Other specified viral diseases' (ICD-10). Both denote a diverse group of viral infections not classified elsewhere.
07989,B348,2,"High semantic similarity. 'Other viral infections of unspecified site' is a reasonable interpretation of 'Other specified viral infection' when the specific virus or site isn't known, although 'specified' in ICD-9 might imply some specification is available."
07989,B341,3,"Moderate semantic similarity. 'Enterovirus infection, unspecified' is a specific type of viral infection. While 'Other specified' could encompass this, it's not the primary meaning."
07989,B342,4,"Moderate semantic similarity. 'Coronavirus infection, unspecified' is another specific type of viral infection, similar reasoning as B341."
07989,B344,5,"Moderate semantic similarity. 'Papovavirus infection, unspecified' is another specific type of viral infection, similar reasoning as B341."
07989,B9789,6,Lower semantic similarity. 'Other viral agents as the cause of diseases classified elsewhere' implies the virus is causative but the primary diagnosis is elsewhere. ICD-9 '07989' doesn't explicitly state this context.
07989,B9719,7,"Lower semantic similarity. 'Other enterovirus as the cause of diseases classified elsewhere' is specific to enteroviruses and implies a secondary role, not fitting the general nature of '07989'."
07989,B9729,8,"Lower semantic similarity. 'Other coronavirus as the cause of diseases classified elsewhere' is specific to coronaviruses and implies a secondary role, not fitting the general nature of '07989'."
0840,B508,1,"The ICD-9 description 'Falciparum malaria [malignant tertian]' implies a severe or complicated form, which aligns semantically with the ICD-10 code 'Other severe and complicated Plasmodium falciparum malaria'."
0840,B509,2,"This code represents unspecified Plasmodium falciparum malaria, which is less specific than the ICD-9 description suggesting a potentially severe form ('malignant tertian')."
0844,B538,1,"B538 is a direct equivalent for 'Other malaria', representing malaria caused by Plasmodium species not specifically listed elsewhere in the B53 category. This aligns perfectly with the ICD-9 code 0844."
0844,B531,2,"B531 specifies malaria caused by simian plasmodia. While this is a type of malaria, it is much more specific than the general 'Other malaria' in ICD-9 code 0844. It is a possible match only if the 'other' malaria specifically refers to simian types, which is not implied by the ICD-9 description alone."
0849,B508,1,"This code represents 'Other severe and complicated Plasmodium falciparum malaria'. While the ICD-9 code doesn't specify the Plasmodium species or severity, 'Other pernicious complications' implies significant complications. B508 captures the 'other complications' aspect, though it specifically mentions P. falciparum and severity, which aren't explicitly in the ICD-9 description. However, it's the closest match among the options for 'other complications' of malaria."
0849,B518,2,"This code represents 'Plasmodium vivax malaria with other complications'. Similar to B508, it captures the 'other complications' aspect. The difference is the Plasmodium species (vivax vs. falciparum). Since the ICD-9 code doesn't specify the species, either B508 or B518 could potentially fit, but B508 is slightly preferred as P. falciparum is often associated with more severe complications ('pernicious')."
0849,B528,3,"This code represents 'Plasmodium malariae malaria with other complications'. It also captures the 'other complications' aspect, but specifies P. malariae. Again, the species isn't specified in the ICD-9 code, making this less likely than B508 or B518, but still possible."
0849,B500,4,"This code represents 'Plasmodium falciparum malaria with cerebral complications'. While cerebral complications are pernicious, this code is too specific, focusing only on cerebral issues, whereas the ICD-9 code refers to 'other' pernicious complications, suggesting it might not be cerebral."
0849,B510,5,"This code represents 'Plasmodium vivax malaria with rupture of spleen'. This is a specific complication (rupture of spleen), whereas the ICD-9 code refers to 'other' pernicious complications, implying it's not a specific, commonly listed one like spleen rupture."
0849,B520,6,"This code represents 'Plasmodium malariae malaria with nephropathy'. Similar to B510, this is a specific complication (nephropathy), whereas the ICD-9 code refers to 'other' pernicious complications, suggesting it's not a specific one like nephropathy."
0860,B572,1,"The ICD-9 code '0860' specifies 'Chagas' disease with heart involvement' without specifying the stage (acute or chronic). ICD-10 code B572 represents 'Chagas' disease (chronic) with heart involvement'. While the ICD-9 code doesn't explicitly state chronic, chronic is the more common form and often the default assumption when not specified. B570 specifies 'Acute Chagas' disease', which is less likely to be the intended meaning of the unspecified ICD-9 code. Therefore, B572 is a slightly better semantic match than B570, although neither is perfect."
0860,B570,2,"The ICD-9 code '0860' specifies 'Chagas' disease with heart involvement' without specifying the stage (acute or chronic). ICD-10 code B570 represents 'Acute Chagas' disease with heart involvement'. This is a possible match, but acute is less common than chronic, making B572 a slightly better fit for the unspecified ICD-9 code."
0913,A5139,1,"This code directly maps the general category 'secondary syphilis of skin' from the ICD-9 description. The ICD-9 code specifies skin or mucous membranes, and A5139 covers skin, which is the most prominent site mentioned."
0913,A5131,2,"This code represents 'Condyloma latum', a specific manifestation of secondary syphilis affecting mucous membranes and sometimes skin. While the ICD-9 code mentions 'skin or mucous membranes', A5131 is a specific lesion type, making it less general than A5139, but still a plausible manifestation."
1105,B354,1,"Tinea corporis is the direct ICD-10-CM equivalent for dermatophytosis of the body. 'Tinea' refers to dermatophytosis, and 'corporis' refers to the body."
1105,B355,2,"Tinea imbricata is a specific type of dermatophytosis (tinea), but it refers to a specific pattern ('imbricata') not explicitly mentioned in the ICD-9 description, making it less general than B354."
1120,B370,1,Stomatitis means inflammation of the mouth. Candidiasis of the mouth is essentially candidal stomatitis. This is a direct semantic match.
1120,B3783,2,"Cheilitis means inflammation of the lips. While the mouth includes the lips, 'candidiasis of mouth' is broader than just the lips, making this a less specific match than B370."
1122,B3749,1,This code directly corresponds to the ICD-9 description 'Candidiasis of other urogenital sites' by specifying 'Other urogenital candidiasis'. It captures the general location and pathogen described in the ICD-9 code.
1122,B3742,2,"This code specifies 'Candidal balanitis', which is candidiasis of the glans penis. While this is a urogenital site, it is a specific site, whereas the ICD-9 code refers to 'other' urogenital sites, implying a location not otherwise specified or potentially multiple sites. Therefore, it is less general than the ICD-9 description."
1161,B419,1,"This code directly maps to the ICD-9 term 'Paracoccidioidomycosis' without specifying a location, matching the unspecified nature of the ICD-9 code."
1161,B410,2,"This code specifies 'Pulmonary' paracoccidioidomycosis. While paracoccidioidomycosis often affects the lungs, the ICD-9 code is unspecified, making this a less direct match than B419."
1171,B429,1,"The ICD-9 code '1171' for 'Sporotrichosis' is unspecified regarding the type or location. B429 'Sporotrichosis, unspecified' is the most direct and semantically equivalent match as it represents the general condition without further specification, mirroring the lack of specificity in the ICD-9 code."
1171,B420,2,"B420 'Pulmonary sporotrichosis' specifies a location (pulmonary). While the ICD-9 code is unspecified, pulmonary involvement is a common form of sporotrichosis. This is a plausible, though more specific, representation."
1171,B421,3,B421 'Lymphocutaneous sporotrichosis' specifies a specific clinical presentation (lymphocutaneous). This is a common form but represents a specific subtype not explicitly indicated in the general ICD-9 code.
1171,B427,4,"B427 'Disseminated sporotrichosis' specifies a severe, widespread form of the disease. While possible, it represents a specific and less common presentation than the general term in the ICD-9 code."
1175,B459,1,"This code represents 'Cryptococcosis, unspecified', which is the most direct and general equivalent to the ICD-9 code 'Cryptococcosis'. It captures the core meaning without adding specificity that isn't present in the original code."
1175,B450,2,"This code represents 'Pulmonary cryptococcosis'. While cryptococcosis often affects the lungs, the ICD-9 code does not specify the location. This code adds specificity (pulmonary) not present in the original code, making it less direct but still related."
1175,B457,3,"This code represents 'Disseminated cryptococcosis'. This implies a specific pattern of infection spread, which is not mentioned in the ICD-9 code. It's a specific type of cryptococcosis, making it less general than B459 and potentially less representative of the unspecified ICD-9 code."
1179,B49,1,"ICD-9 'unspecified mycoses' is directly equivalent to ICD-10 'Unspecified mycosis'. The term 'other' in the ICD-9 code implies a category encompassing various types, similar to 'unspecified' in ICD-10."
1179,B488,2,"ICD-10 'Other specified mycoses' is less specific than the ICD-9 'Other and unspecified mycoses', which includes the unspecified category. While 'other' is present, the lack of 'unspecified' makes it a less direct match."
1229,B6790,1,"Directly maps 'unspecified echinococcosis' from ICD-9 to 'Echinococcosis, unspecified' in ICD-10. High semantic similarity."
1229,B6799,2,"Maps 'other echinococcosis' from ICD-9 to 'Other echinococcosis' in ICD-10. This is a reasonable match for the 'other' part of the ICD-9 description, although 'unspecified' is also present."
1269,B769,1,"This code directly corresponds to the 'unspecified' nature of the ICD-9 code, representing hookworm disease without further specification, similar to 'Ancylostomiasis and necatoriasis, unspecified'."
1269,B768,2,"This code represents 'Other hookworm diseases'. While Ancylostomiasis and necatoriasis are types of hookworm diseases, the ICD-9 code is unspecified, making B769 a more precise match. B768 might be used if a specific type other than the common ones was known, but B769 captures the unspecified nature better."
1342,B834,1,"ICD-9 'Hirudiniasis' is a general term for leech infestation. ICD-10 B834 specifically refers to 'Internal hirudiniasis', which is a common manifestation and often implied by the general term without further specification. It represents a direct and specific semantic match."
1342,B883,2,"ICD-10 B883 refers to 'External hirudiniasis', another form of leech infestation. While related to the ICD-9 term, it is less likely to be the intended meaning of the general term 'Hirudiniasis' without further context specifying the location (external)."
1368,B998,1,"This code represents 'Other infectious disease', which is a direct and broad match for the ICD-9 description 'Other specified infectious and parasitic diseases'. While it lacks the 'parasitic' component, it captures the core 'infectious' aspect and the 'other specified' nature."
1368,B608,2,"This code represents 'Other specified protozoal diseases'. Protozoal diseases are a subset of parasitic diseases. While the ICD-9 code includes 'parasitic diseases', this code only covers a specific type (protozoal) and omits the 'infectious' component, making it less comprehensive than B998."
1369,B999,1,"B999 directly maps to 'Unspecified infectious disease', which is the primary component of the ICD-9 description 'Unspecified infectious and parasitic diseases'. While the ICD-9 code includes 'parasitic', B999 is a better fit for the 'infectious' part, which is often the more common or default interpretation when 'unspecified' is used for combined categories."
1369,B89,2,"B89 maps to 'Unspecified parasitic disease', covering the 'parasitic' component of the ICD-9 description. However, the ICD-9 description combines infectious and parasitic, and B999 (infectious) is arguably a more general or encompassing category when both are unspecified, making B89 less optimal than B999."
138,B91,1,B91 directly translates the meaning of 'Late effects' as 'Sequelae' of poliomyelitis. It is the most direct semantic equivalent.
138,G14,2,"G14 refers to 'Postpolio syndrome', which is a specific type of late effect of poliomyelitis, but not all late effects are postpolio syndrome. Therefore, it is less general and potentially less accurate than B91."
1398,B948,1,This code directly corresponds to 'late effects of other specified infectious and parasitic diseases'. 'Sequelae' is a direct synonym for 'late effects'.
1398,B949,2,"This code corresponds to 'late effects of unspecified infectious and parasitic diseases'. While the ICD-9 code specifies 'other and unspecified', B949 covers the 'unspecified' part, making it a reasonable match, although less specific than B948 if the underlying disease was specified."
1468,C108,1,"This code directly maps to 'Malignant neoplasm of overlapping sites of oropharynx', which is a specific type of oropharyngeal malignancy. The ICD-9 code '1468' specifies 'other specified sites of oropharynx', indicating a location within the oropharynx but not one of the primary listed sites. 'Overlapping sites' is semantically similar to 'other specified sites' in this context."
1468,C104,2,"This code represents 'Malignant neoplasm of branchial cleft'. While a branchial cleft can be located in the oropharynx region, it is a distinct anatomical structure. The ICD-9 code specifies 'oropharynx' generally, not a specific structure like a branchial cleft. Therefore, this is a less precise match than C108, but still potentially relevant depending on the exact 'other specified site'."
1550,C220,1,"Represents the most common type of primary malignant neoplasm of the liver (hepatocellular carcinoma), which is often implied by 'malignant neoplasm of liver, primary' when a specific type isn't given."
1550,C228,2,"Directly translates the concept of 'malignant neoplasm of liver, primary' without specifying the histological type, serving as a general category."
1550,C227,3,"Represents other specified carcinomas of the liver. While less specific than C220, it covers other primary malignant liver neoplasms besides hepatocellular carcinoma and hepatoblastoma."
1550,C222,4,"Represents hepatoblastoma, a specific type of primary malignant liver neoplasm, but it is primarily seen in infants and young children, making it less likely to be the default interpretation of the general ICD-9 code."
1578,C257,1,"Direct semantic equivalent. 'Other specified sites' in ICD-9 maps closely to 'other parts' in ICD-10, both indicating locations within the pancreas excluding the head, body, and tail which have specific codes."
1578,C258,2,"Less specific than C257. 'Overlapping sites' is a less common or precise term than 'other parts' for describing pancreatic malignancy locations, making it a less likely match for the general 'other specified sites' in ICD-9."
1588,C481,1,"Direct semantic equivalent. The ICD-10 code explicitly describes a malignant neoplasm of specified parts of the peritoneum, matching the ICD-9 description."
1588,C488,2,"Related but less specific. This code covers overlapping sites involving the peritoneum, which is broader than the ICD-9 code's focus on specified parts *of* the peritoneum."
1715,C494,1,Direct semantic equivalent. 'Malignant neoplasm of connective and soft tissue of abdomen' in ICD-10 directly corresponds to the ICD-9 description.
1715,C49A9,2,"Represents a malignant neoplasm of connective and soft tissue, but specifies 'other sites' rather than the abdomen. It is semantically related but less specific than C494."
1715,C49A0,3,"Represents a malignant neoplasm (Gastrointestinal stromal tumor), but specifies an unspecified site. While it is a soft tissue neoplasm, it lacks the specified location 'abdomen'."
1715,C49A1,4,"Represents a malignant neoplasm (Gastrointestinal stromal tumor) of the esophagus. This is a specific site, not the abdomen."
1715,C49A2,5,"Represents a malignant neoplasm (Gastrointestinal stromal tumor) of the stomach. This is a specific site within the abdomen, but less general than the ICD-9 code."
1715,C49A3,6,"Represents a malignant neoplasm (Gastrointestinal stromal tumor) of the small intestine. This is a specific site within the abdomen, but less general than the ICD-9 code."
1715,C49A4,7,"Represents a malignant neoplasm (Gastrointestinal stromal tumor) of the large intestine. This is a specific site within the abdomen, but less general than the ICD-9 code."
1715,C49A5,8,"Represents a malignant neoplasm (Gastrointestinal stromal tumor) of the rectum. This is a specific site, not the abdomen."
1718,C498,1,"This code directly maps the connective and soft tissue malignancy described in the ICD-9 code, although it specifies 'overlapping sites' rather than 'other specified sites'. It is the closest semantic match."
1718,C478,2,"This code involves malignant neoplasms but specifies peripheral nerves and the autonomic nervous system, which are distinct from connective and other soft tissues mentioned in the ICD-9 code."
1720,C430,1,"Directly maps the ICD-9 description 'Malignant melanoma of skin of lip' to 'Malignant melanoma of lip'. This code captures the malignancy, the specific cancer type (melanoma), and the body site (lip), matching the ICD-9 description closely in terms of clinical semantics."
1720,D030,2,"Represents 'Melanoma in situ of lip'. While it specifies the body site (lip) and cancer type (melanoma), 'in situ' indicates a pre-invasive stage, which is semantically different from the 'Malignant' qualifier in the ICD-9 code. It is less specific regarding the stage of malignancy compared to the ICD-9 code."
1722,C4320,1,"Directly maps the ICD-9 description 'Malignant melanoma of skin of ear and external auditory canal' to 'Malignant melanoma of unspecified ear and external auricular canal'. It captures the malignancy ('Malignant melanoma'), the body site ('ear and external auditory canal'/'external auricular canal'), and the unspecified laterality, consistent with the ICD-9 code."
1722,D0320,2,"Represents 'Melanoma in situ', which is a type of melanoma but less severe than 'Malignant melanoma' specified in the ICD-9 code. While related, it lacks the 'malignant' descriptor, making it less specific."
1722,D0321,3,"Represents 'Melanoma in situ of right ear'. It specifies laterality ('right') and the 'in situ' stage, neither of which is present in the ICD-9 code. It is less specific regarding the malignancy stage than C4320."
1722,D0322,4,"Represents 'Melanoma in situ of left ear'. Similar to D0321, it specifies laterality ('left') and the 'in situ' stage, which are not in the ICD-9 code. It is less specific regarding the malignancy stage than C4320."
1723,C4330,1,Directly corresponds to 'unspecified part of face' in the ICD-9 description. Captures the malignancy and face location.
1723,C4339,2,"Corresponds to 'other parts of face', which is a component of the ICD-9 description 'other and unspecified parts of face'. This is a close match for the 'other' part."
